국가별,시점,확진자수[명],사망자수[명]
한국,2020. 05. 01,10774,248
한국,2020. 05. 02,10780,250
한국,2020. 05. 03,10793,250
한국,2020. 05. 04,10801,252
한국,2020. 05. 05,10793,250
한국,2020. 05. 06,10806,255
한국,2020. 05. 07,10810,256
한국,2020. 05. 08,10822,256
한국,2020. 05. 09,10840,256
한국,2020. 05. 10,10874,256
한국,2020. 05. 11,10909,256
한국,2020. 05. 12,10936,258
한국,2020. 05. 13,10962,259
한국,2020. 05. 14,10991,260
한국,2020. 05. 15,11018,260
한국,2020. 05. 16,11037,262
한국,2020. 05. 17,11050,262
한국,2020. 05. 18,11065,263
한국,2020. 05. 19,11078,263
한국,2020. 05. 20,11110,263
한국,2020. 05. 21,11122,264
한국,2020. 05. 22,11142,264
한국,2020. 05. 23,11165,266
한국,2020. 05. 24,11190,266
한국,2020. 05. 25,11190,267
한국,2020. 05. 26,11225,269
한국,2020. 05. 27,11265,269
한국,2020. 05. 28,11344,269
한국,2020. 05. 29,11402,269
한국,2020. 05. 30,11441,269
한국,2020. 05. 31,11468,270
한국,2020. 06. 01,11503,271
한국,2020. 06. 02,11541,272
한국,2020. 06. 03,11590,273
한국,2020. 06. 04,11629,273
한국,2020. 06. 05,11668,273
한국,2020. 06. 06,11719,273
한국,2020. 06. 07,11776,273
한국,2020. 06. 08,11814,273
한국,2020. 06. 09,11852,274
한국,2020. 06. 10,11902,276
한국,2020. 06. 11,11947,276
한국,2020. 06. 12,12003,277
한국,2020. 06. 13,12051,277
한국,2020. 06. 14,12085,277
한국,2020. 06. 15,12121,277
한국,2020. 06. 16,12155,278
한국,2020. 06. 17,12198,279
한국,2020. 06. 18,12257,280
한국,2020. 06. 19,12351,49
한국,2020. 06. 20,12373,280
한국,2020. 06. 21,12421,280
한국,2020. 06. 22,12438,280
한국,2020. 06. 23,12484,281
한국,2020. 06. 24,12535,281
한국,2020. 06. 25,12563,282
한국,2020. 06. 26,12602,282
한국,2020. 06. 27,12653,282
한국,2020. 06. 28,12715,282
한국,2020. 06. 29,12757,282
